headx,heady,foodx,foody
346.5,565.5,409.5,315.0
377.5,565.5,409.5,315.0
408.5,565.5,409.5,315.0
408.5,534.5,409.5,315.0
408.5,503.5,409.5,315.0
408.5,472.5,409.5,315.0
408.5,441.5,409.5,315.0
408.5,410.5,409.5,315.0
408.5,379.5,409.5,315.0
408.5,348.5,409.5,315.0
408.5,317.5,409.5,315.0
377.5,317.5,126.0,63.0
346.5,317.5,126.0,63.0
315.5,317.5,126.0,63.0
284.5,317.5,126.0,63.0
253.5,317.5,126.0,63.0
222.5,317.5,126.0,63.0
191.5,317.5,126.0,63.0
160.5,317.5,126.0,63.0
129.5,317.5,126.0,63.0
129.5,286.5,126.0,63.0
129.5,255.5,126.0,63.0
129.5,224.5,126.0,63.0
129.5,193.5,126.0,63.0
129.5,162.5,126.0,63.0
129.5,131.5,126.0,63.0
129.5,100.5,126.0,63.0
129.5,69.5,126.0,63.0
160.5,69.5,535.5,63.0
191.5,69.5,535.5,63.0
222.5,69.5,535.5,63.0
253.5,69.5,535.5,63.0
284.5,69.5,535.5,63.0
315.5,69.5,535.5,63.0
346.5,69.5,535.5,63.0
377.5,69.5,535.5,63.0
408.5,69.5,535.5,63.0
439.5,69.5,535.5,63.0
470.5,69.5,535.5,63.0
501.5,69.5,535.5,63.0
532.5,69.5,535.5,63.0
563.5,69.5,504.0,315.0
594.5,69.5,504.0,315.0
625.5,69.5,504.0,315.0
625.5,38.5,504.0,315.0
594.5,38.5,504.0,315.0
563.5,38.5,504.0,315.0
532.5,38.5,504.0,315.0
501.5,38.5,504.0,315.0
501.5,69.5,504.0,315.0
